Pilot,Initialization,Scenario,Initial EE (Mbit/J),Final EE (Mbit/J),Gain (%),APs/user,Outer iter.,Runtime (s),Conv. chunks
$\tau_p=K$,random,No RIS,0.1064096657510825,0.12240347568547044,15.03041083861805,2.3339999999999996,3.82,18.799786860327004,100/100
$\tau_p=K$,random,Single RIS,0.46605343464913745,0.5181072032612872,11.169055894060257,3.279,4.24,35.488339426689784,100/100
$\tau_p=K/2$,random,No RIS,0.08894913113211898,0.10099525656125091,13.542712869493267,2.2845,3.94,20.7427164491429,100/100
$\tau_p=K/2$,random,Single RIS,0.13986471424363525,0.16305642376963392,16.581529981607964,2.5570000000000004,3.98,52.7021727125335,100/100
$\tau_p=K$,strongest singleton,No RIS,0.18847475368167765,0.17323710146620055,-8.084717935863479,1.735,2.44,12.823496731061022,100/100
$\tau_p=K$,strongest singleton,Single RIS,0.4447207139314283,0.49963454421141823,12.347936257463624,2.801999999999999,3.07,25.7438046347606,100/100
$\tau_p=K$,full candidate,No RIS,0.10517759913459927,0.11376980497638467,8.169235571530463,2.7780000000000005,2.75,15.59879578235792,100/100
$\tau_p=K$,full candidate,Single RIS,0.5804547684886583,0.5804547684886583,0.0,4.0,2.0,10.576316153351218,100/100
$\tau_p=K/2$,strongest singleton,No RIS,0.15725161150914568,0.1451643801921092,-7.686554815581955,1.665,2.52,13.847231924990192,100/100
$\tau_p=K/2$,strongest singleton,Single RIS,0.1352341941433342,0.15270792973805863,12.921092705447023,2.278,2.83,36.8913479433558,100/100
$\tau_p=K/2$,full candidate,No RIS,0.0845672767056214,0.09282102599042064,9.759979990286924,2.615,2.74,17.12199632989941,100/100
$\tau_p=K/2$,full candidate,Single RIS,0.14862982905612496,0.15375329708679975,3.4471330978521735,3.3399999999999994,2.29,29.99095433429349,100/100
