Pilot,Initialization,Scenario,EE (Mbit/J),Rate (Mbps),Power (W),APs/user,Conv.,Reject,QoS,Safe,Iter.,Runtime (s)
$\tau_p=K$,random,No RIS,0.36918832024084625,4.984950153822261,20.630409627718365,2.3339999999999996,73/200,127/200,200/200,200/200,2.32,5.800536959355231
$\tau_p=K$,random,Single RIS,5.042189405799676,6.676501686426375,1.331280967929412,3.279,156/200,44/200,200/200,200/200,5.92,35.946401815959256
$\tau_p=K/2$,random,No RIS,0.3067967665253505,4.348696289862442,20.630396351789713,2.2845,69/200,131/200,200/200,200/200,2.29,6.724640532835619
$\tau_p=K/2$,random,Single RIS,1.8542929624856088,4.321416037858849,3.6720126751857913,2.5570000000000004,112/200,88/200,200/200,200/200,5.07,30.022636369616958
$\tau_p=K$,strongest singleton,No RIS,0.4314249759858847,4.825472372583224,14.728262809454169,1.735,60/100,40/100,100/100,100/100,2.63,6.105366167735774
$\tau_p=K$,strongest singleton,Single RIS,4.606561709855991,6.139681025766496,1.4338381784515604,2.801999999999999,60/100,40/100,100/100,100/100,5.48,34.02393956350628
$\tau_p=K$,full candidate,No RIS,0.39607340424174536,4.971046441488108,17.709083179916906,2.7780000000000005,51/100,49/100,100/100,100/100,2.77,8.451381690809503
$\tau_p=K$,full candidate,Single RIS,5.653824724135233,7.426322602545548,1.4019654203892944,4.0,98/100,2/100,100/100,100/100,6.76,46.691312539135104
$\tau_p=K/2$,strongest singleton,No RIS,0.3466493653017823,4.1099074429908145,16.813603160380836,1.665,55/100,45/100,100/100,100/100,2.41,5.549014317221008
$\tau_p=K/2$,strongest singleton,Single RIS,1.770596254532728,3.906753952080929,2.840789726264737,2.278,47/100,53/100,100/100,100/100,5.14,30.28943209244171
$\tau_p=K/2$,full candidate,No RIS,0.3151478421204618,4.256006252971569,20.500101497560166,2.615,43/100,57/100,100/100,100/100,2.54,8.241014137035236
$\tau_p=K/2$,full candidate,Single RIS,1.7762687142834104,4.204090858751453,3.8821406956249644,3.3399999999999994,53/100,47/100,100/100,100/100,4.81,29.490617506741547
